Unnamed: 0,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,Insect,Total_minutes
978,0.10001198995699803,0.13572174610412369,-0.5371585903416553,-43.6235478364646,-13.350178452142114,90.33961228609424,0,1232
3050,0.9684945661434172,-0.09339359970869551,-0.4759324352892972,-26.534959113273715,-71.464030344265,123.66264033007386,0,1311
4961,0.6708285440756293,-1.2854318661536683,-1.263806294088054,88.6832940803937,105.04335107253252,-133.9784037314631,0,1137
2548,-0.990268204718422,0.8001207697796013,0.5653362106169383,-82.03456719018838,94.20109230291594,-34.944169086421155,1,1287
848,0.6096222748007564,-1.7571018388864554,-1.9996832712645525,35.18694594478317,-282.1925838032498,-76.12912946810397,0,1120
3484,0.8398334377488793,0.9156319692300422,0.3717956726448086,82.93913380278335,-122.94892762141514,-39.14925599602685,0,1337
3282,-1.1542548008151912,0.3896266323895234,-0.3953375360572782,-116.74363103830588,29.399207211247617,-48.03297241185727,2,1400
3861,-0.8395675394483832,1.2656302133098372,0.1890540016131595,-120.33931556237812,-100.03093263188138,202.508956549506,0,1184
2131,0.8186132101086059,0.9536375129477616,-1.2888583598886876,17.17152536615333,68.96549201563576,88.16496206485262,2,1428
47,-0.3029176497153985,1.3302326178719157,0.4962527686262866,70.89968796432412,166.87637424348597,-170.68401804733486,0,1198
3265,-2.7552307545542325,1.1916491755977436,-1.942188762744671,222.384928840734,-0.4133898605767419,9.484585336401569,2,1418
1350,1.1163574269525083,0.4473967439931436,-0.12861581685744536,-50.04430381827984,-2.6991144381910765,-52.706342352569045,0,1304
4629,2.3651269789126856,1.2987077324949265,-1.3065340894101258,138.15788202688375,5.115935586672724,2.673240481438686,2,1345
446,-0.2485590918267984,0.5865598764583043,-0.11972245917520646,-105.61036347385468,-68.31492896019793,-49.89344620864834,1,1311
1743,1.9160934623208061,0.3059661407890829,-0.3186605213219981,-5.841901865074872,90.50732426403438,49.11502176076452,0,1371
4075,0.5730850797713097,1.2282024382173287,0.3610442532864826,-50.57149956230751,-83.50984941909245,66.30337173021624,0,1185
2981,1.3574629819419874,-0.25205727944884043,0.4245455918061988,2.591957261981448,15.535954634300458,-87.21873688184077,1,1297
3599,-0.023435105174600766,0.197537990225685,0.732010886599674,-23.58957536018224,14.877650897301145,34.402993608634894,1,1275
4478,-0.1724956786489115,1.8064726684171302,0.31911061746857355,-107.05572490514308,-63.55210505668326,40.43928803930116,0,1217
5271,-0.14726322347038293,0.21622760419324302,-1.1449089550173037,-178.23096805657633,51.69688053557304,29.02631745996704,1,1315
3803,1.769626656559763,1.43930683402691,0.023345422647185737,-112.22626282952255,1.8647264669455328,9.236524702927287,2,1260
1294,0.5595445041513957,-0.7650916814159383,1.605226856549219,106.56274693188676,110.36415042237732,51.51106054790259,0,1197
2939,0.16968289470705147,0.2468138114105301,-0.3601228737751319,-101.88298113953373,-278.7316284929291,128.20263502895122,0,1358
